127.0.0.1 - - [23/Mar/2023:09:25:04 +0900] "GET / HTTP/1.1" 200 41139
0:0:0:0:0:0:0:1 - - [23/Mar/2023:09:26:05 +0900] "GET /resources/cookie/test.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [23/Mar/2023:09:26:05 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Mar/2023:09:26:10 +0900] "GET /resources/cookie/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:09:46:51 +0900] "GET /resources/cookie/test.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [23/Mar/2023:09:46:52 +0900] "GET /resources/cookie/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:09:47:19 +0900] "GET /resources/cookie/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:20:16 +0900] "GET /resources/cookie/test.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:23:11 +0900] "GET /resources/cookie/test.html HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:43:44 +0900] "GET /resources/cookie/test.html HTTP/1.1" 200 1564
