0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/logo/loder.png HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/services1.png HTTP/1.1" 200 178745
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/services2.png HTTP/1.1" 200 195829
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/services3.png HTTP/1.1" 200 252938
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/case1.png HTTP/1.1" 200 144691
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/case2.png HTTP/1.1" 200 164596
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/case3.png HTTP/1.1" 200 251953
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/logo/logo2_footer.png HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/home-blog2.png HTTP/1.1" 200 447127
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/home-blog1.png HTTP/1.1" 200 550406
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/safe_in.png HTTP/1.1" 200 1634756
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/hero/slider-video-bg.png HTTP/1.1" 200 314438
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/gallery/visit_bg.png HTTP/1.1" 200 1195928
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:54 +0900] "GET /resources/client/assets/img/hero/h1_hero1.png HTTP/1.1" 200 1885362
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:55 +0900] "GET /resources/client/assets/fonts/fa-brands-400.woff2 HTTP/1.1" 200 54420
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:55 +0900] "GET /resources/client/assets/fonts/fa-solid-900.woff2 HTTP/1.1" 200 38784
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:55 +0900] "GET /resources/client/assets/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:10:55 +0900] "GET /resources/client/site.webmanifest HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:14:44 +0900] "GET /resources/client/index.jsp HTTP/1.1" 200 29019
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:14:44 +0900] "GET /resources/client/site.webmanifest HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:15:11 +0900] "GET /resources/client/site.webmanifest HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:15:11 +0900] "GET /resources/client/assets/js/bootstrap.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:15:11 +0900] "GET /resources/client/assets/js/popper.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:15:11 +0900] "GET /resources/client/assets/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:16:40 +0900] "GET /resources/client/index.jsp HTTP/1.1" 200 29043
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:16:40 +0900] "GET /resources/client/assets/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:16:40 +0900] "GET /resources/client/assets/js/popper.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:16:40 +0900] "GET /resources/client/assets/js/bootstrap.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:16:40 +0900] "GET /resources/client/site.webmanifest HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:16:45 +0900] "GET /resources/client/assets/img/hero/h1_hero1.png HTTP/1.1" 200 1885362
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:16:45 +0900] "GET /resources/client/assets/img/gallery/visit_bg.png HTTP/1.1" 200 1195928
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:23:28 +0900] "GET /resources/client/index.jsp HTTP/1.1" 500 2644
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/index.jsp HTTP/1.1" 200 29043
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/slicknav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/progressbar_barfiller.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/gijgo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/animated-headline.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:19:24:00 +0900] "GET /resources/client/assets/css/nice-select.css HTTP/1.1" 304 -
